time,vx,vy,vz,psi_dot
1.265000000000000036e+01,6.053798198699951172e+00,-8.168028831481933594e+00,-1.396450996398925781e+00,-1.949579715728759766e-01
1.266000000000000014e+01,7.308936119079589844e+00,-9.054189682006835938e+00,-7.850134372711181641e-01,-1.869313716888427734e-01
1.266999999999999993e+01,6.411640644073486328e+00,-8.132574081420898438e+00,-1.395347118377685547e+00,-1.841788291931152344e-01
1.267999999999999972e+01,7.685105800628662109e+00,-8.986621856689453125e+00,-8.096385002136230469e-01,-1.752705574035644531e-01
1.268999999999999950e+01,6.763060092926025391e+00,-8.103362083435058594e+00,-1.422904729843139648e+00,-1.741204261779785156e-01
1.270000000000000107e+01,8.053493499755859375e+00,-8.932757377624511719e+00,-8.396542072296142578e-01,-1.638855934143066406e-01
1.271000000000000085e+01,7.108309268951416016e+00,-8.081841468811035156e+00,-1.442210674285888672e+00,-1.652801036834716797e-01
1.272000000000000064e+01,8.408014297485351562e+00,-8.889343261718750000e+00,-8.329367637634277344e-01,-1.518659591674804688e-01
1.273000000000000043e+01,7.434480190277099609e+00,-8.070657730102539062e+00,-1.423608064651489258e+00,-1.567773818969726562e-01
1.274000000000000021e+01,8.741068840026855469e+00,-8.846373558044433594e+00,-8.456051349639892578e-01,-1.403169631958007812e-01
1.275000000000000000e+01,7.729520797729492188e+00,-8.046176910400390625e+00,-1.452163457870483398e+00,-1.479372978210449219e-01
1.275999999999999979e+01,9.049518585205078125e+00,-8.800119400024414062e+00,-8.881008625030517578e-01,-1.299009323120117188e-01
1.276999999999999957e+01,8.006622314453125000e+00,-8.011497497558593750e+00,-1.511092185974121094e+00,-1.399741172790527344e-01
1.278000000000000114e+01,9.364702224731445312e+00,-8.717719078063964844e+00,-9.267330169677734375e-01,-1.239340305328369141e-01
1.279000000000000092e+01,8.297597885131835938e+00,-7.942680358886718750e+00,-1.563782691955566406e+00,-1.358971595764160156e-01
1.280000000000000071e+01,9.669928550720214844e+00,-8.635200500488281250e+00,-9.864151477813720703e-01,-1.205143928527832031e-01
1.281000000000000050e+01,8.609201431274414062e+00,-7.844816207885742188e+00,-1.682734489440917969e+00,-1.324579715728759766e-01
1.282000000000000028e+01,1.000735282897949219e+01,-8.571367263793945312e+00,-1.039899587631225586e+00,-1.175971031188964844e-01
1.283000000000000007e+01,8.907566070556640625e+00,-7.770912647247314453e+00,-1.765726804733276367e+00,-1.309728622436523438e-01
1.283999999999999986e+01,1.033100318908691406e+01,-8.542926788330078125e+00,-1.073421239852905273e+00,-1.168706417083740234e-01
1.284999999999999964e+01,9.216012954711914062e+00,-7.746760845184326172e+00,-1.788228750228881836e+00,-1.310682296752929688e-01
1.285999999999999943e+01,1.063943672180175781e+01,-8.530639648437500000e+00,-1.078964471817016602e+00,-1.174249649047851562e-01
1.287000000000000099e+01,9.510219573974609375e+00,-7.751532554626464844e+00,-1.791422367095947266e+00,-1.331059932708740234e-01
