x,y,value
0.279661,-2.466102,-13.520767
0.355932,-2.466102,-13.795586
0.432203,-2.466102,-14.206482
0.508474,-2.466102,-14.628700
0.584746,-2.466102,-15.167030
0.661017,-2.466102,-15.705391
0.737288,-2.466102,-16.243748
0.813559,-2.466102,-16.763092
0.889830,-2.466102,-17.176670
0.966102,-2.466102,-17.577446
1.042373,-2.466102,-18.464504
1.118644,-2.466102,-20.327354
1.194915,-2.466102,-22.222027
1.271186,-2.466102,-24.369377
1.347457,-2.466102,-26.648869
1.423728,-2.466102,-28.928368
1.500000,-2.466102,-31.207882
-3.000000,-2.389831,-17.765488
-2.923729,-2.389831,-16.111885
-2.847458,-2.389831,-14.728710
-2.771186,-2.389831,-13.471672
-2.694915,-2.389831,-12.357841
-2.618644,-2.389831,-11.559341
-2.542373,-2.389831,-11.030270
-2.466102,-2.389831,-10.766773
-2.389831,-2.389831,-10.506752
-2.313559,-2.389831,-10.256474
-2.237288,-2.389831,-10.006214
-2.161017,-2.389831,-9.755939
-2.084746,-2.389831,-9.505653
-2.008475,-2.389831,-9.255856
-1.932203,-2.389831,-8.958263
-1.855932,-2.389831,-8.577255
-1.779661,-2.389831,-8.196266
-1.703390,-2.389831,-7.777004
-1.627119,-2.389831,-7.357361
-1.550848,-2.389831,-6.949768
-1.474576,-2.389831,-6.509373
-1.398305,-2.389831,-5.349621
-1.322034,-2.389831,-4.189880
-1.245763,-2.389831,-3.030102
-1.169492,-2.389831,-1.870358
-1.093220,-2.389831,-0.748993
-1.016949,-2.389831,-0.067112
-0.940678,-2.389831,0.423908
-0.864407,-2.389831,0.871383
-0.788136,-2.389831,1.318809
-0.711864,-2.389831,1.444675
-0.635593,-2.389831,0.531509
-0.559322,-2.389831,-0.468182
-0.483051,-2.389831,-1.515175
-0.406780,-2.389831,-2.562126
-0.330508,-2.389831,-3.609135
-0.254237,-2.389831,-4.656128
-0.177966,-2.389831,-5.703091
-0.101695,-2.389831,-6.750103
-0.025424,-2.389831,-7.719250
0.050847,-2.389831,-8.595619
0.127119,-2.389831,-9.058502
0.203390,-2.389831,-8.817184
0.279661,-2.389831,-9.288982
0.355932,-2.389831,-9.986908
0.432203,-2.389831,-10.397812
0.508474,-2.389831,-10.920486
0.584746,-2.389831,-11.458839
0.661017,-2.389831,-11.997169
0.737288,-2.389831,-12.528137
0.813559,-2.389831,-12.999802
0.889830,-2.389831,-13.380367
0.966102,-2.389831,-13.819210
1.042373,-2.389831,-15.419888
1.118644,-2.389831,-17.312267
1.194915,-2.389831,-19.448685
1.271186,-2.389831,-21.728188
1.347457,-2.389831,-24.007687
1.423728,-2.389831,-26.287178
1.500000,-2.389831,-28.557842
-3.000000,-2.313559,-14.836639
-2.923729,-2.313559,-13.183044
-2.847458,-2.313559,-11.667393
-2.771186,-2.313559,-10.410381
-2.694915,-2.313559,-9.279797
-2.618644,-2.313559,-8.481281
-2.542373,-2.313559,-7.662365
-2.466102,-2.313559,-6.928532
-2.389831,-2.313559,-6.664978
-2.313559,-2.313559,-6.410988
-2.237288,-2.313559,-6.160725
-2.161017,-2.313559,-5.910439
-2.084746,-2.313559,-5.660141
-2.008475,-2.313559,-5.411434
-1.932203,-2.313559,-5.061531
-1.855932,-2.313559,-4.680508
-1.779661,-2.313559,-4.255676
-1.703390,-2.313559,-3.772419
-1.627119,-2.313559,-3.289143
-1.550848,-2.313559,-2.805874
-1.474576,-2.313559,-2.322579
-1.398305,-2.313559,-1.405911
-1.322034,-2.313559,-0.221188
-1.245763,-2.313559,0.963497
-1.169492,-2.313559,2.117302
-1.093220,-2.313559,3.021156
-1.016949,-2.313559,3.636425
-0.940678,-2.313559,4.163651
-0.864407,-2.313559,4.690880
-0.788136,-2.313559,5.218079
-0.711864,-2.313559,5.739956
-0.635593,-2.313559,5.100391
-0.559322,-2.313559,4.092575
-0.483051,-2.313559,3.045612
-0.406780,-2.313559,1.998615
-0.330508,-2.313559,0.951649
-0.254237,-2.313559,-0.095356
-0.177966,-2.313559,-1.142338
-0.101695,-2.313559,-2.141171
-0.025424,-2.313559,-2.924046
0.050847,-2.313559,-3.518208
0.127119,-2.313559,-3.903561
0.203390,-2.313559,-4.448727
0.279661,-2.313559,-5.345158
0.355932,-2.313559,-6.167084
0.432203,-2.313559,-6.673923
0.508474,-2.313559,-7.212280
0.584746,-2.313559,-7.750614
0.661017,-2.313559,-8.358807
0.737288,-2.313559,-8.982616
0.813559,-2.313559,-9.497955
0.889830,-2.313559,-10.000603
0.966102,-2.313559,-11.071800
1.042373,-2.313559,-12.801300
1.118644,-2.313559,-14.819332
1.194915,-2.313559,-16.968983
1.271186,-2.313559,-19.121632
1.347457,-2.313559,-21.366470
1.423728,-2.313559,-23.645985
1.500000,-2.313559,-25.904640
-3.000000,-2.237288,-11.906834
-2.923729,-2.237288,-10.254173
-2.847458,-2.237288,-8.606094
-2.771186,-2.237288,-7.349079
-2.694915,-2.237288,-6.201748
-2.618644,-2.237288,-5.403240
-2.542373,-2.237288,-4.583736
-2.466102,-2.237288,-3.721840
-2.389831,-2.237288,-2.859947
-2.313559,-2.237288,-2.565491
-2.237288,-2.237288,-2.315171
-2.161017,-2.237288,-2.064930
-2.084746,-2.237288,-1.815113
-2.008475,-2.237288,-1.545784
-1.932203,-2.237288,-1.164768
-1.855932,-2.237288,-0.734329
-1.779661,-2.237288,-0.251091
-1.703390,-2.237288,0.232197
-1.627119,-2.237288,0.715469
-1.550848,-2.237288,1.198719
-1.474576,-2.237288,1.681984
-1.398305,-2.237288,2.282688
-1.322034,-2.237288,3.467438
-1.245763,-2.237288,4.508762
-1.169492,-2.237288,5.421463
-1.093220,-2.237288,6.293152
-1.016949,-2.237288,7.034119
-0.940678,-2.237288,7.576618
-0.864407,-2.237288,8.119122
-0.788136,-2.237288,8.661594
-0.711864,-2.237288,9.195290
-0.635593,-2.237288,9.245287
-0.559322,-2.237288,8.308420
-0.483051,-2.237288,7.333012
-0.406780,-2.237288,6.357552
-0.330508,-2.237288,5.560394
-0.254237,-2.237288,4.792187
-0.177966,-2.237288,4.007938
-0.101695,-2.237288,3.179447
-0.025424,-2.237288,2.350952
0.050847,-2.237288,1.630783
0.127119,-2.237288,0.495804
0.203390,-2.237288,-0.312584
0.279661,-2.237288,-1.246273
0.355932,-2.237288,-2.277653
0.432203,-2.237288,-3.157021
0.508474,-2.237288,-3.821705
0.584746,-2.237288,-4.465622
0.661017,-2.237288,-5.105045
