time,t1,t2,t3,t4
8.779999999999999361e+00,3.550942420959472656e+00,3.810935974121093750e+00,3.307594299316406250e+00,3.637010812759399414e+00
8.790000000000000924e+00,3.719225406646728516e+00,3.700185775756835938e+00,3.606852531433105469e+00,3.374762296676635742e+00
8.800000000000000711e+00,3.566218376159667969e+00,3.813907861709594727e+00,3.346350908279418945e+00,3.608989953994750977e+00
8.810000000000000497e+00,3.712497472763061523e+00,3.714989662170410156e+00,3.646907091140747070e+00,3.342160940170288086e+00
8.820000000000000284e+00,3.547882318496704102e+00,3.840308904647827148e+00,3.376941442489624023e+00,3.581442356109619141e+00
8.830000000000000071e+00,3.677854537963867188e+00,3.750270843505859375e+00,3.668046951293945312e+00,3.325004577636718750e+00
8.839999999999999858e+00,3.496532201766967773e+00,3.885192394256591797e+00,3.387505054473876953e+00,3.562339782714843750e+00
8.849999999999999645e+00,3.630411386489868164e+00,3.793073892593383789e+00,3.663031816482543945e+00,3.329734563827514648e+00
8.859999999999999432e+00,3.469805717468261719e+00,3.919524669647216797e+00,3.368549823760986328e+00,3.597058534622192383e+00
8.870000000000000995e+00,3.622024297714233398e+00,3.813742399215698242e+00,3.631946325302124023e+00,3.380555152893066406e+00
8.880000000000000782e+00,3.491074562072753906e+00,3.925042152404785156e+00,3.335905551910400391e+00,3.673184871673583984e+00
8.890000000000000568e+00,3.659061670303344727e+00,3.799571990966796875e+00,3.600956201553344727e+00,3.445663928985595703e+00
8.900000000000000355e+00,3.544723749160766602e+00,3.892967224121093750e+00,3.316612005233764648e+00,3.733301162719726562e+00
8.910000000000000142e+00,3.715130090713500977e+00,3.760547161102294922e+00,3.596897125244140625e+00,3.475630044937133789e+00
8.919999999999999929e+00,3.598194360733032227e+00,3.848607063293457031e+00,3.330853939056396484e+00,3.736484766006469727e+00
8.929999999999999716e+00,3.749749660491943359e+00,3.725565195083618164e+00,3.629433631896972656e+00,3.445315599441528320e+00
8.939999999999999503e+00,3.612051010131835938e+00,3.825189352035522461e+00,3.371406555175781250e+00,3.681841611862182617e+00
8.950000000000001066e+00,3.725540876388549805e+00,3.715844631195068359e+00,3.678644180297851562e+00,3.367941141128540039e+00
8.960000000000000853e+00,3.567325353622436523e+00,3.833969593048095703e+00,3.412957429885864258e+00,3.602588415145874023e+00
