step,vx_cmd,vy_cmd,vz_cmd,wz_cmd,kv_x,kv_y,kv_z,kR_x,kR_y,kR_z
31,5.053524971008301,8.66349458694458,-0.30969929695129395,-2.6493085026741032,3.905980557203293,0.9669812209904194,0.7250448800623415,16.0,10.869805872440338,1.0516825795173643
32,5.9297919273376465,8.435672521591185,-0.09454607963562012,-2.552151113748551,4.4079709649086,0.5,0.7837521210312838,16.0,10.690689742565155,0.8397644102573396
33,6.626071929931641,8.107579946517944,0.10626161098480225,-2.634882509708405,4.627218395471573,0.5,1.029690459370613,16.0,10.947820603847504,0.7882725417613983
34,6.684589385986328,7.976446151733398,0.30284249782562256,-2.7377259135246286,4.823197424411774,0.5,1.2866933569312091,16.0,11.078791081905365,0.7645415902137758
35,6.6492509841918945,7.586674690246582,0.5166542530059814,-2.9254738390445714,4.997511446475983,0.5,1.6346611380577085,16.0,11.106710195541382,0.7412115216255186
36,6.5980517864227295,6.828112602233887,0.7675620317459106,-3.0,5.300116389989853,0.5,1.8914646580815313,16.0,10.97430294752121,0.7195768773555755
37,6.897850036621094,5.891803503036499,1.1266672611236572,-3.0,5.57812163233757,0.5,2.0094436332583423,16.0,10.508932530879974,0.674864238500595
38,8.102738857269287,4.780069589614868,1.5847867727279663,-3.0,5.915724903345108,0.5,1.9004467055201524,16.0,10.166327714920044,0.6467532396316529
39,9.435791969299316,3.5715484619140625,2.05210018157959,-3.0,6.0,0.5,1.6991501599550247,16.0,9.674440085887909,0.6069294899702071
40,10.0,2.6112687587738037,2.5094597339630127,-3.0,6.0,0.5,1.6096526682376857,16.0,8.993979752063751,0.5462334066629408
41,10.0,2.0947718620300293,2.915454626083374,-3.0,6.0,0.5,1.656478002667427,16.0,8.208387106657028,0.5178441286087034
42,10.0,1.7297029495239258,3.0,-3.0,6.0,0.5,1.99913914501667,16.0,7.293030083179474,0.5211468398571014
43,10.0,1.0244381427764893,3.0,-3.0,6.0,0.5,2.292598180472851,16.0,6.536719113588332,0.5396626651287079
