time,Fz,Mx,My,Mz
4.339999999999999858e+00,1.413513088226318359e+01,1.944044977426528931e-02,-7.367344573140144348e-03,-1.960877707460895181e-04
4.350000000000000533e+00,1.316149520874023438e+01,-2.731166221201419830e-02,1.997397281229496002e-03,1.803151564672589302e-03
4.360000000000000320e+00,1.409403038024902344e+01,2.046231739223003387e-02,-7.272312417626380920e-03,-2.482236886862665415e-04
4.370000000000000107e+00,1.313312816619873047e+01,-2.664895914494991302e-02,2.707063453271985054e-03,1.693045836873352528e-03
4.379999999999999893e+00,1.405746078491210938e+01,2.142724022269248962e-02,-7.064777426421642303e-03,-3.061713068746030331e-04
4.389999999999999680e+00,1.310780429840087891e+01,-2.589365094900131226e-02,3.505131928250193596e-03,1.545127714052796364e-03
4.400000000000000355e+00,1.400851631164550781e+01,2.226706780493259430e-02,-7.123060524463653564e-03,-2.129040221916511655e-04
4.410000000000000142e+00,1.307619953155517578e+01,-2.522598952054977417e-02,4.225921351462602615e-03,1.473257085308432579e-03
4.419999999999999929e+00,1.392911148071289062e+01,2.285267971456050873e-02,-6.651431322097778320e-03,-1.638195681152865291e-04
4.429999999999999716e+00,1.302690982818603516e+01,-2.486480213701725006e-02,5.494302604347467422e-03,1.341776922345161438e-03
4.440000000000000391e+00,1.383873844146728516e+01,2.366467006504535675e-02,-6.399349309504032135e-03,-2.248850942123681307e-04
4.450000000000000178e+00,1.297538471221923828e+01,-2.446423098444938660e-02,6.430771667510271072e-03,1.146960188634693623e-03
4.459999999999999964e+00,1.376106452941894531e+01,2.433860115706920624e-02,-6.186385639011859894e-03,-3.235462354496121407e-04
4.469999999999999751e+00,1.292370319366455078e+01,-2.405687980353832245e-02,7.139572873711585999e-03,8.396761259064078331e-04
4.480000000000000426e+00,1.369777965545654297e+01,2.486843243241310120e-02,-6.038564722985029221e-03,-4.285872564651072025e-04
4.490000000000000213e+00,1.288594245910644531e+01,-2.377107553184032440e-02,7.769856136292219162e-03,5.454875063151121140e-04
4.500000000000000000e+00,1.365000820159912109e+01,2.520264685153961182e-02,-6.114790681749582291e-03,-4.555866471491754055e-04
4.509999999999999787e+00,1.286129188537597656e+01,-2.367770671844482422e-02,8.179231546819210052e-03,3.430673386901617050e-04
4.520000000000000462e+00,1.360926628112792969e+01,2.529269829392433167e-02,-6.218492984771728516e-03,-4.878785985056310892e-04
4.530000000000000249e+00,1.284568786621093750e+01,-2.383214980363845825e-02,8.520550094544887543e-03,2.047435846179723740e-04
4.540000000000000036e+00,1.355990600585937500e+01,2.516090683639049530e-02,-5.437769927084445953e-03,-7.778952131047844887e-04
4.549999999999999822e+00,1.282797813415527344e+01,-2.422535978257656097e-02,9.365892969071865082e-03,-4.607098526321351528e-05
4.560000000000000497e+00,1.351099205017089844e+01,2.480949647724628448e-02,-5.074645858258008957e-03,-8.934849756769835949e-04
4.570000000000000284e+00,1.280529212951660156e+01,-2.485309913754463196e-02,9.883272461593151093e-03,-2.845515555236488581e-04
4.580000000000000071e+00,1.346455955505371094e+01,2.417995035648345947e-02,-4.877470899373292923e-03,-9.706956916488707066e-04
4.589999999999999858e+00,1.277842712402343750e+01,-2.557995542883872986e-02,1.025925856083631516e-02,-4.623906861525028944e-04
4.600000000000000533e+00,1.342548561096191406e+01,2.373095788061618805e-02,-5.003708414733409882e-03,-1.306454068981111050e-03
4.610000000000000320e+00,1.275268554687500000e+01,-2.597399987280368805e-02,1.041724160313606262e-02,-7.935006869956851006e-04
4.620000000000000107e+00,1.338974380493164062e+01,2.310622483491897583e-02,-5.542800296097993851e-03,-1.448897644877433777e-03
4.629999999999999893e+00,1.272558784484863281e+01,-2.653791569173336029e-02,1.025677286088466644e-02,-1.195474760606884956e-03
4.639999999999999680e+00,1.337195873260498047e+01,2.264725603163242340e-02,-6.426332984119653702e-03,-1.580559764988720417e-03
4.650000000000000355e+00,1.267764091491699219e+01,-2.755007892847061157e-02,9.501676075160503387e-03,-1.215400989167392254e-03
4.660000000000000142e+00,1.339825630187988281e+01,2.252363599836826324e-02,-7.388369180262088776e-03,-2.020923886448144913e-03
