time,x,y,z,velocity,ref_x,ref_y,ref_z
16.91975450515747,61.45000076293945,33.77635955810547,16.622331619262695,5.925540477410976,57.14099979400635,33.542500019073486,16.402899980545044
16.929774522781372,61.41300964355469,33.728553771972656,16.6260929107666,5.909572911179191,57.14099979400635,33.542500019073486,16.402899980545044
16.940083980560303,61.37760925292969,33.6832275390625,16.62955093383789,5.866392066544693,57.13967794288967,33.54159554952186,16.40299823808732
16.95126962661743,61.34091567993164,33.63654708862305,16.633214950561523,5.857612897131059,56.98360013961792,33.434800148010254,16.414600014686584
16.95977282524109,61.305599212646484,33.59201431274414,16.63673210144043,5.802039960074981,56.98360013961792,33.434800148010254,16.414600014686584
16.969801902770996,61.26964569091797,33.54701614379883,16.640342712402344,5.803331809000501,56.98360013961792,33.434800148010254,16.414600014686584
16.97985339164734,61.233558654785156,33.50221252441406,16.6439266204834,5.744305542093574,56.98360013961792,33.434800148010254,16.414600014686584
16.989824056625366,61.19771194458008,33.45808792114258,16.647470474243164,5.7467058163759095,56.98360013961792,33.434800148010254,16.414600014686584
17.00059151649475,61.16146469116211,33.413841247558594,16.651081085205078,5.693855290012222,56.82539987564087,33.32929992675781,16.426699995994568
17.009772777557373,61.12532043457031,33.37004089355469,16.654558181762695,5.67957684736817,56.82539987564087,33.32929992675781,16.426699995994568
17.020090103149414,61.08867645263672,33.32604217529297,16.658140182495117,5.645646153603579,56.82539987564087,33.32929992675781,16.426699995994568
17.02993130683899,61.05229568481445,33.28271484375,16.661558151245117,5.598342882313811,56.82539987564087,33.32929992675781,16.426699995994568
17.0406596660614,61.015995025634766,33.23984909057617,16.665040969848633,5.592352038941289,56.81490458492998,33.322498781340975,16.427524581716852
17.05325746536255,60.98017501831055,33.19791030883789,16.668376922607422,5.537017807671347,56.66629981994629,33.226200103759766,16.439200043678284
17.059887409210205,60.943382263183594,33.15520095825195,16.671918869018555,5.542817642039416,56.66629981994629,33.226200103759766,16.439200043678284
17.070028066635132,60.90699005126953,33.113426208496094,16.675376892089844,5.476383790880331,56.66629981994629,33.226200103759766,16.439200043678284
17.080547332763672,60.87071228027344,33.072105407714844,16.678808212280273,5.475340555662909,56.66629981994629,33.226200103759766,16.439200043678284
17.090242624282837,60.8343620300293,33.031105041503906,16.682287216186523,5.423548990364818,56.66241783512305,33.223756879619486,16.439513028878196
17.09997844696045,60.79814910888672,32.99064636230469,16.685636520385742,5.400822026486942,56.50664482083814,33.12571724107512,16.452072235118518
17.109981298446655,60.761962890625,32.95067596435547,16.688886642456055,5.355213364775809,56.50629997253418,33.125500202178955,16.452100038528442
