x,y,value
1.500000,-2.694915,-129.816269
-3.000000,-2.618644,25.547504
-2.923729,-2.618644,30.897360
-2.847458,-2.618644,36.355007
-2.771186,-2.618644,41.716007
-2.694915,-2.618644,47.717602
-2.618644,-2.618644,53.432648
-2.542373,-2.618644,54.227764
-2.466102,-2.618644,54.574314
-2.389831,-2.618644,54.885090
-2.313559,-2.618644,55.159691
-2.237288,-2.618644,55.304390
-2.161017,-2.618644,55.430508
-2.084746,-2.618644,55.515717
-2.008475,-2.618644,55.536343
-1.932203,-2.618644,55.463078
-1.855932,-2.618644,55.364300
-1.779661,-2.618644,55.350307
-1.703390,-2.618644,55.347286
-1.627119,-2.618644,55.309185
-1.550848,-2.618644,55.116390
-1.474576,-2.618644,54.831707
-1.398305,-2.618644,54.572994
-1.322034,-2.618644,54.306789
-1.245763,-2.618644,54.041618
-1.169492,-2.618644,53.775867
-1.093220,-2.618644,52.101044
-1.016949,-2.618644,46.502895
-0.940678,-2.618644,39.732727
-0.864407,-2.618644,33.933136
-0.788136,-2.618644,27.787592
-0.711864,-2.618644,19.321720
-0.635593,-2.618644,9.427383
-0.559322,-2.618644,0.943573
-0.483051,-2.618644,-6.182903
-0.406780,-2.618644,-11.285015
-0.330508,-2.618644,-15.959663
-0.254237,-2.618644,-20.282425
-0.177966,-2.618644,-24.548214
-0.101695,-2.618644,-28.638813
-0.025424,-2.618644,-33.515419
0.050847,-2.618644,-38.184383
0.127119,-2.618644,-42.937969
0.203390,-2.618644,-48.119423
0.279661,-2.618644,-53.255043
0.355932,-2.618644,-58.390697
0.432203,-2.618644,-63.311485
0.508474,-2.618644,-67.907417
0.584746,-2.618644,-72.503326
0.661017,-2.618644,-77.117020
0.737288,-2.618644,-81.739075
0.813559,-2.618644,-86.507706
0.889830,-2.618644,-91.329857
0.966102,-2.618644,-96.151993
1.042373,-2.618644,-100.862892
1.118644,-2.618644,-105.357040
1.194915,-2.618644,-110.476517
1.271186,-2.618644,-115.679558
1.347457,-2.618644,-120.789978
1.423728,-2.618644,-125.687065
1.500000,-2.618644,-130.376297
-3.000000,-2.542373,23.901035
-2.923729,-2.542373,29.222015
-2.847458,-2.542373,34.493301
-2.771186,-2.542373,39.597279
-2.694915,-2.542373,45.341198
-2.618644,-2.542373,51.786316
-2.542373,-2.542373,54.025066
-2.466102,-2.542373,54.400578
-2.389831,-2.542373,54.763371
-2.313559,-2.542373,55.037971
-2.237288,-2.542373,55.240520
-2.161017,-2.542373,55.366634
-2.084746,-2.542373,55.484295
-2.008475,-2.542373,55.534702
-1.932203,-2.542373,55.533958
-1.855932,-2.542373,55.456520
-1.779661,-2.542373,55.405155
-1.703390,-2.542373,55.403378
-1.627119,-2.542373,55.361935
-1.550848,-2.542373,55.264771
-1.474576,-2.542373,54.986210
-1.398305,-2.542373,54.722500
-1.322034,-2.542373,54.456295
-1.245763,-2.542373,54.176750
-1.169492,-2.542373,53.886486
-1.093220,-2.542373,52.883846
-1.016949,-2.542373,48.191441
-0.940678,-2.542373,41.689285
-0.864407,-2.542373,35.889713
-0.788136,-2.542373,29.652761
-0.711864,-2.542373,21.852718
-0.635593,-2.542373,12.032759
-0.559322,-2.542373,2.879528
-0.483051,-2.542373,-3.593109
-0.406780,-2.542373,-8.572742
-0.330508,-2.542373,-13.165672
-0.254237,-2.542373,-17.733814
-0.177966,-2.542373,-22.140129
-0.101695,-2.542373,-26.828167
-0.025424,-2.542373,-31.806953
0.050847,-2.542373,-36.869553
0.127119,-2.542373,-42.059616
0.203390,-2.542373,-47.248440
0.279661,-2.542373,-52.405910
0.355932,-2.542373,-57.551910
0.432203,-2.542373,-62.687572
0.508474,-2.542373,-67.456947
0.584746,-2.542373,-72.052818
0.661017,-2.542373,-76.648766
0.737288,-2.542373,-81.306450
0.813559,-2.542373,-86.039825
0.889830,-2.542373,-90.788925
0.966102,-2.542373,-95.725616
1.042373,-2.542373,-100.820862
1.118644,-2.542373,-105.838417
1.194915,-2.542373,-110.917343
1.271186,-2.542373,-116.104767
1.347457,-2.542373,-121.292206
1.423728,-2.542373,-126.247154
1.500000,-2.542373,-130.936325
-3.000000,-2.466102,22.254543
-2.923729,-2.466102,27.562157
-2.847458,-2.466102,32.833454
-2.771186,-2.466102,37.833363
-2.694915,-2.466102,43.601177
-2.618644,-2.466102,49.816204
-2.542373,-2.466102,53.839024
-2.466102,-2.466102,54.226841
-2.389831,-2.466102,54.617050
-2.313559,-2.466102,54.916256
-2.237288,-2.466102,55.176655
-2.161017,-2.466102,55.302776
-2.084746,-2.466102,55.428886
-2.008475,-2.466102,55.516026
-1.932203,-2.466102,55.534382
-1.855932,-2.466102,55.547253
-1.779661,-2.466102,55.485180
-1.703390,-2.466102,55.452877
-1.627119,-2.466102,55.423363
-1.550848,-2.466102,55.365292
-1.474576,-2.466102,55.148449
-1.398305,-2.466102,54.872021
-1.322034,-2.466102,54.605816
-1.245763,-2.466102,54.327824
-1.169492,-2.466102,54.013359
-1.093220,-2.466102,53.659420
-1.016949,-2.466102,49.860744
-0.940678,-2.466102,43.647427
-0.864407,-2.466102,37.846249
-0.788136,-2.466102,31.517933
-0.711864,-2.466102,23.700239
-0.635593,-2.466102,14.630869
-0.559322,-2.466102,4.815491
-0.483051,-2.466102,-1.003311
-0.406780,-2.466102,-5.725842
-0.330508,-2.466102,-10.318768
-0.254237,-2.466102,-14.913933
-0.177966,-2.466102,-20.103264
-0.101695,-2.466102,-25.119701
-0.025424,-2.466102,-30.318222
0.050847,-2.466102,-35.844830
0.127119,-2.466102,-41.181255
0.203390,-2.466102,-46.369495
0.279661,-2.466102,-51.526958
0.355932,-2.466102,-56.684429
0.432203,-2.466102,-61.841915
0.508474,-2.466102,-66.984421
0.584746,-2.466102,-71.602394
0.661017,-2.466102,-76.199631
0.737288,-2.466102,-80.904984
0.813559,-2.466102,-85.784874
0.889830,-2.466102,-91.002213
0.966102,-2.466102,-96.160286
1.042373,-2.466102,-101.166199
1.118644,-2.466102,-106.183739
1.194915,-2.466102,-111.319199
1.271186,-2.466102,-116.512573
1.347457,-2.466102,-121.700050
1.423728,-2.466102,-126.705109
1.500000,-2.466102,-131.452667
-3.000000,-2.389831,20.608063
-2.923729,-2.389831,25.902294
-2.847458,-2.389831,31.173595
-2.771186,-2.389831,36.091045
-2.694915,-2.389831,41.897701
-2.618644,-2.389831,48.112720
-2.542373,-2.389831,53.674435
-2.466102,-2.389831,54.061527
-2.389831,-2.389831,54.448601
-2.313559,-2.389831,54.793797
-2.237288,-2.389831,55.069145
-2.161017,-2.389831,55.238907
-2.084746,-2.389831,55.365025
-2.008475,-2.389831,55.491138
-1.932203,-2.389831,55.515709
-1.855932,-2.389831,55.558620
-1.779661,-2.389831,55.573818
-1.703390,-2.389831,55.484150
-1.627119,-2.389831,55.480244
-1.550848,-2.389831,55.426628
-1.474576,-2.389831,55.294285
-1.398305,-2.389831,55.021526
-1.322034,-2.389831,54.755329
-1.245763,-2.389831,54.478916
-1.169492,-2.389831,54.162613
-1.093220,-2.389831,53.815189
-1.016949,-2.389831,51.516781
-0.940678,-2.389831,45.609261
-0.864407,-2.389831,39.802811
-0.788136,-2.389831,33.383106
-0.711864,-2.389831,25.534927
-0.635593,-2.389831,17.198479
-0.559322,-2.389831,7.503445
-0.483051,-2.389831,1.714012
-0.406780,-2.389831,-2.878903
-0.330508,-2.389831,-7.471851
-0.254237,-2.389831,-12.297199
-0.177966,-2.389831,-18.016926
-0.101695,-2.389831,-23.676693
-0.025424,-2.389831,-29.211796
0.050847,-2.389831,-34.738396
0.127119,-2.389831,-40.265015
0.203390,-2.389831,-45.490562
0.279661,-2.389831,-50.648052
0.355932,-2.389831,-55.805508
0.432203,-2.389831,-60.963001
0.508474,-2.389831,-66.120483
0.584746,-2.389831,-70.995544
0.661017,-2.389831,-76.004608
0.737288,-2.389831,-81.196663
0.813559,-2.389831,-86.388718
0.889830,-2.389831,-91.580750
0.966102,-2.389831,-96.596939
1.042373,-2.389831,-101.542465
1.118644,-2.389831,-106.529060
1.194915,-2.389831,-111.684769
1.271186,-2.389831,-116.920372
1.347457,-2.389831,-122.107841
1.423728,-2.389831,-127.149078
1.500000,-2.389831,-131.933029
-3.000000,-2.313559,18.961582
-2.923729,-2.313559,24.242439
-2.847458,-2.313559,29.513752
-2.771186,-2.313559,34.398731
-2.694915,-2.313559,40.194195
-2.618644,-2.313559,46.953388
-2.542373,-2.313559,53.454014
-2.466102,-2.313559,53.896938
-2.389831,-2.313559,54.284012
-2.313559,-2.313559,54.668919
-2.237288,-2.313559,54.944603
-2.161017,-2.313559,55.166561
-2.084746,-2.313559,55.297932
-2.008475,-2.313559,55.427273
-1.932203,-2.313559,55.497028
-1.855932,-2.313559,55.544407
-1.779661,-2.313559,55.601257
-1.703390,-2.313559,55.557629
-1.627119,-2.313559,55.511524
-1.550848,-2.313559,55.504932
-1.474576,-2.313559,55.409401
-1.398305,-2.313559,55.171047
-1.322034,-2.313559,54.904842
-1.245763,-2.313559,54.629997
-1.169492,-2.313559,54.314430
-1.093220,-2.313559,53.988800
-1.016949,-2.313559,53.641808
-0.940678,-2.313559,47.596889
-0.864407,-2.313559,41.761234
-0.788136,-2.313559,35.248272
-0.711864,-2.313559,27.369593
-0.635593,-2.313559,19.170435
-0.559322,-2.313559,10.774734
-0.483051,-2.313559,4.560951
-0.406780,-2.313559,-0.031956
-0.330508,-2.313559,-4.659039
-0.254237,-2.313559,-10.191494
-0.177966,-2.313559,-16.251080
-0.101695,-2.313559,-22.294731
-0.025424,-2.313559,-28.078148
0.050847,-2.313559,-33.631916
0.127119,-2.313559,-39.158554
0.203390,-2.313559,-44.611629
0.279661,-2.313559,-49.769131
0.355932,-2.313559,-54.751991
0.432203,-2.313559,-59.786839
0.508474,-2.313559,-65.383446
0.584746,-2.313559,-70.991302
0.661017,-2.313559,-76.593536
0.737288,-2.313559,-81.798645
0.813559,-2.313559,-87.000549
0.889830,-2.313559,-92.142059
0.966102,-2.313559,-97.038460
1.042373,-2.313559,-101.979156
1.118644,-2.313559,-106.924652
1.194915,-2.313559,-112.050415
1.271186,-2.313559,-117.298264
1.347457,-2.313559,-122.513763
1.423728,-2.313559,-127.622574
1.500000,-2.313559,-132.457764
-3.000000,-2.237288,17.311283
-2.923729,-2.237288,22.582600
-2.847458,-2.237288,27.853899
-2.771186,-2.237288,32.706409
-2.694915,-2.237288,38.490726
-2.618644,-2.237288,46.054790
-2.542373,-2.237288,53.000565
-2.466102,-2.237288,53.732342
-2.389831,-2.237288,54.119423
-2.313559,-2.237288,54.506512
-2.237288,-2.237288,54.819721
-2.161017,-2.237288,55.087330
-2.084746,-2.237288,55.218700
-2.008475,-2.237288,55.350063
-1.932203,-2.237288,55.456356
-1.855932,-2.237288,55.524567
-1.779661,-2.237288,55.577488
-1.703390,-2.237288,55.581684
-1.627119,-2.237288,55.542805
-1.550848,-2.237288,55.538883
-1.474576,-2.237288,55.485081
-1.398305,-2.237288,55.325565
-1.322034,-2.237288,55.054356
-1.245763,-2.237288,54.781078
-1.169492,-2.237288,54.466244
-1.093220,-2.237288,54.162899
-1.016949,-2.237288,53.799816
-0.940678,-2.237288,49.608868
-0.864407,-2.237288,43.747688
-0.788136,-2.237288,37.135010
-0.711864,-2.237288,29.233967
-0.635593,-2.237288,21.035973
-0.559322,-2.237288,14.244101
-0.483051,-2.237288,7.471569
-0.406780,-2.237288,2.806610
-0.330508,-2.237288,-2.562592
-0.254237,-2.237288,-8.488113
-0.177966,-2.237288,-14.719864
-0.101695,-2.237288,-20.912788
-0.025424,-2.237288,-26.696209
0.050847,-2.237288,-32.476894
0.127119,-2.237288,-37.908077
0.203390,-2.237288,-43.293373
0.279661,-2.237288,-48.595570
0.355932,-2.237288,-54.192127
0.432203,-2.237288,-59.788715
0.508474,-2.237288,-65.385269
0.584746,-2.237288,-71.054718
0.661017,-2.237288,-76.764587
0.737288,-2.237288,-82.379303
0.813559,-2.237288,-87.584396
0.889830,-2.237288,-92.603432
0.966102,-2.237288,-97.506653
1.042373,-2.237288,-102.423508
1.118644,-2.237288,-107.361320
1.194915,-2.237288,-112.478096
1.271186,-2.237288,-117.684914
1.347457,-2.237288,-122.954735
1.423728,-2.237288,-128.082718
1.500000,-2.237288,-132.982513
-3.000000,-2.161017,15.651430
-2.923729,-2.161017,20.922752
-2.847458,-2.161017,26.163733
-2.771186,-2.161017,31.014076
-2.694915,-2.161017,37.490181
-2.618644,-2.161017,45.156185
-2.542373,-2.161017,52.547123
-2.466102,-2.161017,53.567753
-2.389831,-2.161017,53.954838
-2.313559,-2.161017,54.341923
-2.237288,-2.161017,54.694851
-2.161017,-2.161017,54.970524
-2.084746,-2.161017,55.139473
-2.008475,-2.161017,55.273186
-1.932203,-2.161017,55.393566
-1.855932,-2.161017,55.486725
-1.779661,-2.161017,55.537975
-1.703390,-2.161017,55.571415
-1.627119,-2.161017,55.559803
-1.550848,-2.161017,55.570168
-1.474576,-2.161017,55.557808
-1.398305,-2.161017,55.441154
-1.322034,-2.161017,55.216885
-1.245763,-2.161017,54.932163
-1.169492,-2.161017,54.618061
-1.093220,-2.161017,54.315235
-1.016949,-2.161017,53.977280
-0.940678,-2.161017,52.073925
-0.864407,-2.161017,45.734158
-0.788136,-2.161017,39.031662
-0.711864,-2.161017,31.099503
-0.635593,-2.161017,22.901520
-0.559322,-2.161017,16.969595
-0.483051,-2.161017,11.116461
-0.406780,-2.161017,5.031113
-0.330508,-2.161017,-0.902741
-0.254237,-2.161017,-6.955315
-0.177966,-2.161017,-13.174435
-0.101695,-2.161017,-19.223045
-0.025424,-2.161017,-25.023010
0.050847,-2.161017,-30.665092
0.127119,-2.161017,-36.704895
0.203390,-2.161017,-42.721619
0.279661,-2.161017,-48.597416
0.355932,-2.161017,-54.193966
0.432203,-2.161017,-59.790562
0.508474,-2.161017,-65.408264
0.584746,-2.161017,-71.118149
0.661017,-2.161017,-76.828026
0.737288,-2.161017,-82.537903
0.813559,-2.161017,-88.145370
0.889830,-2.161017,-93.048561
0.966102,-2.161017,-97.951767
1.042373,-2.161017,-102.870880
1.118644,-2.161017,-107.800797
1.194915,-2.161017,-112.963516
1.271186,-2.161017,-118.185577
1.347457,-2.161017,-123.379745
1.423728,-2.161017,-128.533859
1.500000,-2.161017,-133.507217
-3.000000,-2.084746,13.991587
-2.923729,-2.084746,19.262901
-2.847458,-2.084746,24.395973
-2.771186,-2.084746,29.378595
-2.694915,-2.084746,36.591564
-2.618644,-2.084746,44.257599
-2.542373,-2.084746,51.923588
-2.466102,-2.084746,53.403172
-2.389831,-2.084746,53.790249
-2.313559,-2.084746,54.177334
-2.237288,-2.084746,54.564415
-2.161017,-2.084746,54.845654
-2.084746,-2.084746,55.060623
-2.008475,-2.084746,55.198757
-1.932203,-2.084746,55.323921
-1.855932,-2.084746,55.426212
-1.779661,-2.084746,55.496159
-1.703390,-2.084746,55.531162
-1.627119,-2.084746,55.542252
-1.550848,-2.084746,55.530647
-1.474576,-2.084746,55.590305
-1.398305,-2.084746,55.516636
-1.322034,-2.084746,55.420383
-1.245763,-2.084746,55.097324
-1.169492,-2.084746,54.774296
-1.093220,-2.084746,54.467571
-1.016949,-2.084746,54.150314
-0.940678,-2.084746,53.933842
-0.864407,-2.084746,48.001858
-0.788136,-2.084746,40.928314
-0.711864,-2.084746,32.965034
-0.635593,-2.084746,25.368879
-0.559322,-2.084746,19.683161
-0.483051,-2.084746,13.657709
-0.406780,-2.084746,6.681076
-0.330508,-2.084746,0.798603
-0.254237,-2.084746,-5.069248
-0.177966,-2.084746,-11.139957
-0.101695,-2.084746,-17.216072
-0.025424,-2.084746,-23.782074
0.050847,-2.084746,-29.990978
0.127119,-2.084746,-36.199905
0.203390,-2.084746,-42.408810
0.279661,-2.084746,-48.428600
0.355932,-2.084746,-54.195858
0.432203,-2.084746,-59.792423
0.508474,-2.084746,-65.471733
0.584746,-2.084746,-71.181602
0.661017,-2.084746,-76.891464
0.737288,-2.084746,-82.601318
0.813559,-2.084746,-88.148628
0.889830,-2.084746,-93.493668
0.966102,-2.084746,-98.396881
1.042373,-2.084746,-103.326347
1.118644,-2.084746,-108.298462
1.194915,-2.084746,-113.456696
1.271186,-2.084746,-118.673645
1.347457,-2.084746,-123.866226
1.423728,-2.084746,-128.972443
1.500000,-2.084746,-134.005905
-3.000000,-2.008475,12.331715
-2.923729,-2.008475,17.603035
-2.847458,-2.008475,22.628193
-2.771186,-2.008475,28.491158
-2.694915,-2.008475,35.692966
-2.618644,-2.008475,43.358978
-2.542373,-2.008475,51.024994
-2.466102,-2.008475,53.238579
-2.389831,-2.008475,53.625660
-2.313559,-2.008475,54.012745
-2.237288,-2.008475,54.399826
-2.161017,-2.008475,54.720783
-2.084746,-2.008475,54.986187
-2.008475,-2.008475,55.121342
-1.932203,-2.008475,55.243946
-1.855932,-2.008475,55.361877
