time,vx,vy,vz,psi_dot
9.380000000000000782e+00,1.162301254272460938e+01,7.522346973419189453e+00,1.225249767303466797e+00,4.114508628845214844e-01
9.390000000000000568e+00,1.008867454528808594e+01,6.884646415710449219e+00,-2.631247043609619141e-01,4.171609878540039062e-01
9.400000000000000355e+00,1.134590911865234375e+01,7.952210903167724609e+00,1.251385211944580078e+00,4.173984527587890625e-01
9.410000000000000142e+00,9.809791564941406250e+00,7.294113636016845703e+00,-2.225840091705322266e-01,4.257078170776367188e-01
9.419999999999999929e+00,1.107344627380371094e+01,8.380770683288574219e+00,1.202037334442138672e+00,4.280142784118652344e-01
9.429999999999999716e+00,9.519457817077636719e+00,7.696940898895263672e+00,-2.450907230377197266e-01,4.359230995178222656e-01
9.439999999999999503e+00,1.078886985778808594e+01,8.785760879516601562e+00,1.154487133026123047e+00,4.382400512695312500e-01
9.450000000000001066e+00,9.223978042602539062e+00,8.082067489624023438e+00,-2.936780452728271484e-01,4.464483261108398438e-01
9.460000000000000853e+00,1.048984718322753906e+01,9.161734580993652344e+00,1.111392974853515625e+00,4.472618103027343750e-01
9.470000000000000639e+00,8.918466567993164062e+00,8.437845230102539062e+00,-3.368079662322998047e-01,4.558763504028320312e-01
9.480000000000000426e+00,1.017931747436523438e+01,9.501668930053710938e+00,1.083073616027832031e+00,4.535570144653320312e-01
9.490000000000000213e+00,8.594594001770019531e+00,8.760879516601562500e+00,-3.963148593902587891e-01,4.642920494079589844e-01
9.500000000000000000e+00,9.847478866577148438e+00,9.806287765502929688e+00,1.008684635162353516e+00,4.590797424316406250e-01
9.509999999999999787e+00,8.255772590637207031e+00,9.044750213623046875e+00,-4.722976684570312500e-01,4.703927040100097656e-01
9.519999999999999574e+00,9.527258872985839844e+00,1.007694053649902344e+01,1.023216247558593750e+00,4.625172615051269531e-01
9.529999999999999361e+00,7.925677299499511719e+00,9.290814399719238281e+00,-4.816687107086181641e-01,4.738221168518066406e-01
9.540000000000000924e+00,9.195329666137695312e+00,1.028424072265625000e+01,1.049563884735107422e+00,4.649205207824707031e-01
9.550000000000000711e+00,7.600700855255126953e+00,9.491397857666015625e+00,-4.553294181823730469e-01,4.760980606079101562e-01
9.560000000000000497e+00,8.861663818359375000e+00,1.044182014465332031e+01,1.073889732360839844e+00,4.649472236633300781e-01
9.570000000000000284e+00,7.272834777832031250e+00,9.627170562744140625e+00,-4.143595695495605469e-01,4.757118225097656250e-01
9.580000000000000071e+00,8.592098236083984375e+00,1.059544563293457031e+01,1.027898788452148438e+00,4.611797332763671875e-01
9.589999999999999858e+00,6.975224018096923828e+00,9.733881950378417969e+00,-4.003870487213134766e-01,4.709258079528808594e-01
9.599999999999999645e+00,8.296103477478027344e+00,1.067363739013671875e+01,9.224891662597656250e-01,4.541053771972656250e-01
9.609999999999999432e+00,6.719441413879394531e+00,9.822959899902343750e+00,-4.242134094238281250e-01,4.651088714599609375e-01
9.620000000000000995e+00,7.974443435668945312e+00,1.069659233093261719e+01,7.318282127380371094e-01,4.467668533325195312e-01
9.630000000000000782e+00,6.429157257080078125e+00,9.826133728027343750e+00,-5.818402767181396484e-01,4.583601951599121094e-01
9.640000000000000568e+00,7.642636299133300781e+00,1.068589019775390625e+01,5.579686164855957031e-01,4.378070831298828125e-01
9.650000000000000355e+00,6.140775680541992188e+00,9.780330657958984375e+00,-6.559395790100097656e-01,4.487347602844238281e-01
9.660000000000000142e+00,7.382004261016845703e+00,1.061835098266601562e+01,5.694484710693359375e-01,4.234542846679687500e-01
9.669999999999999929e+00,5.930113792419433594e+00,9.691014289855957031e+00,-5.919849872589111328e-01,4.344987869262695312e-01
9.679999999999999716e+00,7.168610095977783203e+00,1.046710014343261719e+01,7.271862030029296875e-01,4.068632125854492188e-01
9.689999999999999503e+00,5.732700824737548828e+00,9.520351409912109375e+00,-4.350912570953369141e-01,4.171938896179199219e-01
9.700000000000001066e+00,6.912560462951660156e+00,1.025579643249511719e+01,8.824491500854492188e-01,3.896355628967285156e-01
9.710000000000000853e+00,5.502045154571533203e+00,9.260194778442382812e+00,-2.238678932189941406e-01,3.979806900024414062e-01
9.720000000000000639e+00,6.614325046539306641e+00,1.001424312591552734e+01,9.820890426635742188e-01,3.746919631958007812e-01
9.730000000000000426e+00,5.191016197204589844e+00,8.963001251220703125e+00,-1.354324817657470703e-01,3.849897384643554688e-01
9.740000000000000213e+00,6.273381710052490234e+00,9.768209457397460938e+00,9.864401817321777344e-01,3.617458343505859375e-01
