time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,M1,M2,M3,M4,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref
1.37,0.6628442406654358,0.604753851890564,1.455111026763916,3.893376111984253,4.19155740737915,0.03404094651341438,0.9714934229850769,-0.07038455456495285,-0.15872351825237274,0.16141071915626526,-0.42558836936950684,-2.43841814994812,-0.3239847421646118,11000.0244140625,11267.3154296875,11131.6611328125,10427.1552734375,0.73454350233078,0.7592625021934509,1.5,3.4875736236572266,3.8697736263275146,0.0
1.3800000000000001,0.7012521624565125,0.6468052268028259,1.4559627771377563,3.840791702270508,4.205138206481934,0.08517351001501083,0.9695944786071777,-0.07022131234407425,-0.17101223766803741,0.16034486889839172,-0.33866602182388306,-2.3355677127838135,-0.3332309126853943,11037.3271484375,11319.458984375,11310.0703125,10563.9423828125,0.7691539525985718,0.7978916168212891,1.5,3.434105634689331,3.8559319972991943,0.0
1.3900000000000001,0.7390912175178528,0.6889872550964355,1.4573301076889038,3.783902883529663,4.218203067779541,0.13673117756843567,0.9676769375801086,-0.06970078498125076,-0.18271054327487946,0.15924851596355438,-0.23562005162239075,-2.2408933639526367,-0.3407910466194153,11056.388671875,11346.7646484375,11435.58203125,10650.779296875,0.8032174706459045,0.8363788723945618,1.5,3.3781957626342773,3.841404914855957,0.0
1.4000000000000001,0.7763234376907349,0.7312931418418884,1.459207534790039,3.723223924636841,4.230587482452393,0.18774428963661194,0.9657562375068665,-0.06874071806669235,-0.19384662806987762,0.15815506875514984,-0.11965515464544296,-2.1574437618255615,-0.3474523723125458,11062.7646484375,11353.09375,11504.5634765625,10685.076171875,0.8367098569869995,0.8747174739837646,1.5,3.3198838233947754,3.826195001602173,0.0
1.41,0.8129169344902039,0.7737142443656921,1.4615797996520996,3.6593518257141113,4.242108345031738,0.2372317910194397,0.9638410806655884,-0.06727166473865509,-0.20446625351905823,0.15709343552589417,0.005082124378532171,-2.0879933834075928,-0.3540835678577423,11056.8974609375,11338.1474609375,11513.365234375,10664.357421875,0.8696072697639465,0.9129005074501038,1.5,3.259211301803589,3.810304880142212,0.0
1.42,0.8488461375236511,0.8162400126457214,1.464422583580017,3.592918634414673,4.2525763511657715,0.28427964448928833,0.9619324207305908,-0.06524147093296051,-0.2146318107843399,0.156085804104805,0.1337967962026596,-2.034768581390381,-0.361573189496994,11040.4921875,11303.5625,11462.193359375,10589.8076171875,0.9018863439559937,0.9509212970733643,1.5,3.196221113204956,3.7937371730804443,0.0
1.43,0.8840916752815247,0.8588581085205078,1.4677034616470337,3.5245513916015625,4.2618088722229,0.3280857503414154,0.9600231051445007,-0.06261857599020004,-0.22441984713077545,0.1551457643508911,0.26135730743408203,-1.9992828369140625,-0.3706810176372528,11013.5419921875,11249.89453125,11356.1240234375,10467.158203125,0.9335241317749023,0.988772988319397,1.5,3.130958080291748,3.7764952182769775,0.0
1.44,0.9186398386955261,0.901554524898529,1.4713836908340454,3.4548165798187256,4.269643783569336,0.3680271506309509,0.958098828792572,-0.059394072741270065,-0.23391768336296082,0.15427759289741516,0.38293084502220154,-1.9822866916656494,-0.38194307684898376,10976.376953125,11178.8623046875,11205.47265625,10306.5732421875,0.9644981026649475,1.0264489650726318,1.5,3.0634689331054688,3.7585818767547607,0.0
1.45,0.9524821639060974,0.9443139433860779,1.475419521331787,3.38423490524292,4.275942325592041,0.40358591079711914,0.9561382532119751,-0.055580880492925644,-0.24321900308132172,0.15347634255886078,0.4945387840270996,-1.9838594198226929,-0.3955141007900238,10922.96484375,11086.486328125,11022.1220703125,10119.080078125,0.994786262512207,1.0639424324035645,1.5,2.9938013553619385,3.7400002479553223,0.0
1.46,0.9856141209602356,0.9871199727058411,1.4797643423080444,3.3131930828094482,4.28060245513916,0.43448346853256226,0.9541149139404297,-0.05121050402522087,-0.25241994857788086,0.15272995829582214,0.5928452014923096,-2.003089427947998,-0.4113553464412689,10856.9169921875,10978.447265625,10819.4921875,9918.099609375,1.024367094039917,1.10124671459198,1.5,2.9220049381256104,3.7207539081573486,0.0
