time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,M1,M2,M3,M4,px_ref,py_ref,pz_ref,vx_ref,vy_ref,vz_ref
2.8000000000000003,-1.4530823230743408,2.2629475593566895,1.6681042909622192,-1.6432369947433472,-2.348548173904419,0.017398418858647346,0.9119880199432373,0.17564919590950012,0.3455180823802948,0.13432233035564423,0.020586278289556503,0.760399580001831,-0.6970666646957397,10146.5634765625,9287.0107421875,9909.87890625,9926.71875,-1.3888897895812988,2.489912986755371,1.5,-1.5108145475387573,-2.2312262058258057,0.0
2.81,-1.468514084815979,2.239125967025757,1.6683305501937866,-1.5431805849075317,-2.382159948348999,0.02262287586927414,0.9111123085021973,0.17402580380439758,0.34960681200027466,0.13177424669265747,0.03729228302836418,0.754396378993988,-0.6995833516120911,10228.12890625,9361.4296875,10011.1103515625,10016.5146484375,-1.403502345085144,2.4673800468444824,1.5,-1.4115235805511475,-2.275291919708252,0.0
2.82,-1.4829206466674805,2.2149665355682373,1.6686190366744995,-1.4406616687774658,-2.4159326553344727,0.028851304203271866,0.9102100729942322,0.1724734604358673,0.3536721169948578,0.1291767656803131,0.0562596470117569,0.7445295453071594,-0.7017413377761841,10303.7451171875,9426.529296875,10108.61328125,10100.6435546875,-1.4171169996261597,2.444408416748047,1.5,-1.3112289905548096,-2.318952798843384,0.0
2.83,-1.4962787628173828,2.1904680728912354,1.6689780950546265,-1.335808277130127,-2.449838638305664,0.03590118885040283,0.9092862606048584,0.1710054576396942,0.35769733786582947,0.12652401626110077,0.07665474712848663,0.7295351624488831,-0.7034485340118408,10371.3720703125,9480.59375,10201.0693359375,10178.236328125,-1.429723858833313,2.4210023880004883,1.5,-1.2100019454956055,-2.362201452255249,0.0
2.84,-1.5085668563842773,2.1656296253204346,1.6694135665893555,-1.2288055419921875,-2.483842611312866,0.04354667291045189,0.9083492755889893,0.16963215172290802,0.361659437417984,0.12381091713905334,0.09759879112243652,0.7081713080406189,-0.7045871615409851,10428.2021484375,9521.0712890625,10286.826171875,10247.72265625,-1.4413141012191772,2.3971657752990723,1.5,-1.1079145669937134,-2.4050302505493164,0.0
2.85,-1.5197656154632568,2.1404504776000977,1.669929027557373,-1.1198782920837402,-2.5179085731506348,0.051541637629270554,0.9074106216430664,0.16836078464984894,0.3655291795730591,0.12103348970413208,0.11818723380565643,0.6794148683547974,-0.7050496935844421,10473.0546875,9547.302734375,10364.1640625,10307.908203125,-1.4518795013427734,2.3729031085968018,1.5,-1.0050393342971802,-2.4474315643310547,0.0
2.86,-1.5298585891723633,2.1149303913116455,1.670525312423706,-1.009292483329773,-2.551999092102051,0.05962390452623367,0.9064850211143494,0.16719524562358856,0.36927226185798645,0.11818913370370865,0.13753017783164978,0.6424565315246582,-0.7047649025917053,10505.365234375,9559.203125,10430.88671875,10357.0009765625,-1.4614125490188599,2.3482186794281006,1.5,-0.9014495015144348,-2.4893977642059326,0.0
2.87,-1.5388320684432983,2.0890696048736572,1.6712005138397217,-0.8973531723022461,-2.5860753059387207,0.06752151995897293,0.9055898189544678,0.1661357581615448,0.3728502690792084,0.11527665704488754,0.15480530261993408,0.596794843673706,-0.7036367654800415,10523.14453125,9555.6123046875,10486.3349609375,10394.8916015625,-1.4699063301086426,2.3231165409088135,1.5,-0.7972186803817749,-2.530921220779419,0.0
2.88,-1.5466763973236084,2.06286883354187,1.671949863433838,-0.7844303250312805,-2.6200881004333496,0.07493244856595993,0.9047443270683289,0.16517914831638336,0.3762221336364746,0.11229654401540756,0.16931070387363434,0.5422245860099792,-0.7014977335929871,10522.09765625,9533.2568359375,10529.8515625,10421.3369140625,-1.4773550033569336,2.2976016998291016,1.5,-0.6924209594726562,-2.5719950199127197,0.0
2.89,-1.5533852577209473,2.0363287925720215,1.6727657318115234,-0.6708915829658508,-2.653996706008911,0.0815897211432457,0.9039692282676697,0.16431935131549835,0.3793455958366394,0.10925137996673584,0.18074145913124084,0.4788319170475006,-0.6981911063194275,10502.73046875,9493.6748046875,10562.1875,10437.00390625,-1.4837530851364136,2.2716782093048096,1.5,-0.5871308445930481,-2.6126112937927246,0.0
