step,vx_cmd,vy_cmd,vz_cmd,wz_cmd
45,10.0,4.967371225357056,0.8902122974395752,-0.17751342058181763
46,10.0,6.241718530654907,0.10082638263702393,0.3270542621612549
47,10.0,7.35979437828064,-0.1448675394058231,0.6605522632598877
48,10.0,8.342833518981935,-0.17269939184188876,0.968320369720459
49,10.0,9.191292524337769,0.21017003059387207,1.2217737436294556
50,10.0,8.872104883193968,1.0303888320922852,1.0060712099075317
51,10.0,9.1597044467926,1.8978323936462402,0.5119861364364624
52,10.0,9.712325334548952,2.5081955194473267,-0.1617146730422977
53,10.0,10.0,2.8439855575561523,-0.7002884745597839
54,10.0,10.0,2.917890787124634,-1.0288950204849248
55,10.0,10.0,2.8326551914215097,-1.3452172279357915
56,10.0,10.0,2.644569754600525,-1.6122431159019475
57,10.0,10.0,2.4844636917114267,-1.8108154535293586
58,10.0,10.0,2.2425023317337036,-2.2583840042352676
59,6.671710014343262,10.0,1.8975799083709717,-2.615218296647072
60,3.6160755157470703,10.0,3.0,-1.9660343527793884
61,0.9229302406311035,10.0,3.0,-0.5773794651031494
62,-1.7075985670089722,10.0,3.0,0.9507147073745728
63,-3.9574891328811646,10.0,3.0,1.9749337434768677
64,-5.87675005197525,10.0,3.0,2.859665036201477
65,-7.640790939331056,10.0,3.0,3.0
66,-9.171696826815607,10.0,3.0,3.0
67,-10.0,10.0,3.0,3.0
68,-10.0,10.0,3.0,3.0
69,-10.0,10.0,3.0,3.0
70,-10.0,10.0,3.0,3.0
71,-10.0,10.0,2.7462258338928214,3.0
72,-10.0,10.0,2.3199559450149536,3.0
73,-10.0,10.0,1.7928800582885742,2.587613582611085
74,-10.0,10.0,1.1763761043548584,2.1163015365600586
75,-10.0,10.0,0.5854825973510742,1.753237009048462
76,-10.0,10.0,-0.010325253009796143,1.421762466430664
77,-10.0,10.0,-0.6395418047904972,1.103420376777649
78,-10.0,10.0,-1.3105428814888,0.7864694595336914
79,-10.0,10.0,-2.023839354515076,0.35283565521240234
80,-10.0,10.0,-2.811125412583351,-0.15274000167846713
81,-10.0,10.0,-3.0,-0.4126101136207584
82,-10.0,10.0,-3.0,-0.5971521735191345
83,-10.0,10.0,-3.0,-0.8546476364135742
84,-10.0,10.0,-3.0,-1.1695169806480412
85,-10.0,10.0,-3.0,-1.4644698500633244
86,-10.0,-0.9649407863616943,-3.0,3.0
87,-10.0,-1.3630831241607677,-3.0,3.0
88,-10.0,-1.4260363578796398,-3.0,3.0
89,-10.0,-1.4769464731216442,-3.0,3.0
90,-10.0,-1.7427253723144542,-3.0,3.0
91,-10.0,-2.0654678344726562,-3.0,3.0
92,-10.0,-2.529866099357606,-3.0,3.0
93,-10.0,-2.9794859886169442,-2.610087633132935,3.0
94,-10.0,-3.2729899883270264,-2.1242426633834848,3.0
95,-10.0,-4.241957068443298,-1.6454831957817078,3.0
96,-10.0,-5.8465540409088135,-0.9650471806526184,3.0
97,-10.0,-9.026926308870316,-0.06682330369949341,3.0
98,-10.0,-10.0,0.8964464664459229,3.0
99,-10.0,-10.0,1.7737891674041748,3.0
100,-10.0,-10.0,2.5935516357421875,3.0
101,-10.0,-10.0,3.0,3.0
102,-10.0,-10.0,3.0,3.0
103,-10.0,-10.0,3.0,3.0
104,-10.0,-10.0,3.0,3.0
105,-10.0,-10.0,3.0,3.0
106,-10.0,-10.0,3.0,3.0
107,-10.0,-10.0,3.0,3.0
108,-10.0,-10.0,2.591942310333252,3.0
109,-10.0,-10.0,2.082653045654297,3.0
110,-10.0,-10.0,1.8721282482147217,2.8809878826141357
111,-10.0,-10.0,1.4660983085632324,1.8172996044158936
112,-10.0,-10.0,0.9125139713287354,0.6344225406646729
113,-10.0,-10.0,0.6448767185211182,-0.22399449348449707
114,-10.0,-10.0,0.5361700057983398,-0.9662089347839359
115,-10.0,-10.0,0.40882837772369385,-1.7034441232681279
